,Brand,no_of_rear_camera,rear_camera_1_pixels,rear_camera_2_pixels,rear_camera_3_pixels,rear_camera_4_pixels,rear_camera_5_pixels,no_of_front_camera,front_camera_1_pixels,front_camera_2_pixels,Release_year,Screen-size,operationg_system,Internal_storage(GB),WiFi,Bluetooth,Battery(mah),RAM,Touchscreen,Form-factor,Processor,GPS,Resolution,Accelerometer,Proximity_sensor,Ambient_light_sensor,Expandable_storage,Rear_flash,Proceesor_make,Height,Breadth,Width,Price_in_India,Weight,Compass/magnetometer,Headphones,Gyroscope,Expandable_storage_type,4G_or_3G,Simtype,GSM/CDMA,Expandable_storage(GB)
26,Xiaomi,2,12.0,5.0,,,,1,5.0,,2018.0,5.84,Android,32.0,Yes,Yes,4000.0,3072.0,Yes,Touchscreen,octa-core,Yes,1080.0,Yes,Yes,Yes,Yes,LED,Qualcomm Snapdragon,149.33,71.68,8.75,11990.0,178.0,Yes,Yes,Yes,microSD,4G,Nano-SIM,GSM,256.0
27,Xiaomi,2,12.0,5.0,,,,1,5.0,,2018.0,5.45,Android,32.0,Yes,Yes,3000.0,3072.0,Yes,Touchscreen,octa-core,Yes,720.0,Yes,Yes,Yes,Yes,LED,MediaTek Helio,147.5,71.5,8.3,8999.0,146.0,Yes,Yes,No,microSD,4G,Nano-SIM,GSM,256.0
28,Xiaomi,2,12.0,5.0,,,,1,5.0,,2018.0,5.45,Android,32.0,Yes,Yes,3000.0,3072.0,Yes,Touchscreen,octa-core,Yes,720.0,Yes,Yes,Yes,Yes,LED,MediaTek Helio,147.5,71.5,8.3,9999.0,146.0,Yes,Yes,No,microSD,4G,Nano-SIM,GSM,256.0
29,Xiaomi,2,12.0,5.0,,,,1,5.0,,2018.0,5.45,Android,32.0,Yes,Yes,3000.0,3072.0,Yes,Touchscreen,octa-core,Yes,720.0,Yes,Yes,Yes,Yes,LED,MediaTek Helio,147.5,71.5,8.3,8990.0,146.0,Yes,Yes,No,microSD,4G,Nano-SIM,GSM,256.0
30,Xiaomi,2,12.0,5.0,,,,1,5.0,,2018.0,5.45,Android,32.0,Yes,Yes,3000.0,3072.0,Yes,Touchscreen,octa-core,Yes,720.0,Yes,Yes,Yes,Yes,LED,MediaTek Helio,147.5,71.5,8.3,8900.0,146.0,Yes,Yes,No,microSD,4G,Nano-SIM,GSM,256.0
31,Xiaomi,2,12.0,5.0,,,,1,5.0,,2018.0,5.45,Android,32.0,Yes,Yes,3000.0,3072.0,Yes,Touchscreen,octa-core,Yes,720.0,Yes,Yes,Yes,Yes,LED,MediaTek Helio,147.5,71.5,8.3,8900.0,146.0,Yes,Yes,No,microSD,4G,Nano-SIM,GSM,256.0
32,Xiaomi,2,12.0,5.0,,,,1,5.0,,2018.0,5.45,Android,32.0,Yes,Yes,3000.0,3072.0,Yes,Touchscreen,octa-core,Yes,720.0,Yes,Yes,Yes,Yes,LED,MediaTek Helio,147.5,71.5,8.3,8899.0,146.0,Yes,Yes,No,microSD,4G,Nano-SIM,GSM,256.0
33,Xiaomi,2,12.0,5.0,,,,1,5.0,,2018.0,5.45,Android,32.0,Yes,Yes,3000.0,3072.0,Yes,Touchscreen,octa-core,Yes,720.0,Yes,Yes,Yes,Yes,LED,MediaTek Helio,147.5,71.5,8.3,8299.0,146.0,Yes,Yes,No,microSD,4G,Nano-SIM,GSM,256.0
34,Xiaomi,2,12.0,5.0,,,,1,5.0,,2018.0,5.45,Android,32.0,Yes,Yes,3000.0,3072.0,Yes,Touchscreen,octa-core,Yes,720.0,Yes,Yes,Yes,Yes,LED,MediaTek Helio,147.5,71.5,8.3,7999.0,146.0,Yes,Yes,No,microSD,4G,Nano-SIM,GSM,256.0
35,Realme,2,16.0,2.0,,,,1,16.0,,2018.0,6.3,Android,64.0,Yes,Yes,3500.0,4096.0,Yes,Touchscreen,octa-core,Yes,1080.0,Yes,Yes,Yes,Yes,Yes,Qualcomm Snapdragon,156.7,74.0,8.5,11950.0,174.0,Yes,Yes,Yes,microSD,4G,Nano-SIM,GSM,256.0
36,Realme,2,16.0,2.0,,,,1,16.0,,2018.0,6.3,Android,64.0,Yes,Yes,3500.0,4096.0,Yes,Touchscreen,octa-core,Yes,1080.0,Yes,Yes,Yes,Yes,Yes,Qualcomm Snapdragon,156.7,74.0,8.5,12600.0,174.0,Yes,Yes,Yes,microSD,4G,Nano-SIM,GSM,256.0
37,Realme,2,16.0,5.0,,,,1,25.0,,2019.0,6.3,Android,64.0,Yes,Yes,4045.0,4096.0,Yes,Touchscreen,octa-core,Yes,1080.0,Yes,Yes,Yes,Yes,Yes,Qualcomm Snapdragon,156.8,74.2,8.3,15990.0,172.0,Yes,Yes,Yes,microSD,4G,Nano-SIM,GSM,256.0
